scientific_name	taxonid	kingdom	phylum	class	order	family	genus	main_common_name	authority	published_year	category	criteria	marine_system	freshwater_system	terrestrial_system	aoo_km2	eoo_km2	elevation_upper	elevation_lower	depth_upper	depth_lower	assessor	reviewer	errata_flag	errata_reason	amended_flag	amended_reason
Choeroniscus minor	4774	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Choeroniscus	Lesser Long-tailed Bat	(Peters, 1868)	2016	LC		False	False	True			1300	50			Sampaio, E., Lim, B. & Peters, S.	Solari, S.				
Choeroniscus periosus	4775	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Choeroniscus	Greater Long-tailed Bat	Handley, 1966	2015	VU	A3c	False	False	True			500	0			Tirira, D.	Solari, S.				
Choeronycteris mexicana	4776	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Choeronycteris	Mexican Long-tongued Bat	Tschudi, 1844	2008	NT		False	False	True			1900				Arroyo-Cabrales, J. & Perez, S.	Medellín, R. (Chiroptera Red List Authority) & Schipper, J. (Global Mammal Assessment Team)				
Chrotopterus auritus	4811	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Chrotopterus	Woolly False Vampire Bat	(Peters, 1856)	2015	LC		False	False	True							Barquez, R., Perez, S., Miller, B. & Diaz, M.	Solari, S.				
Cistugo lesueuri	44787	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	CISTUGIDAE	Cistugo	Lesueur's Hairy Bat	Roberts, 1919	2017	LC		False	False	True		405009		0			Monadjem, A., Taylor, P., Schoeman, C., Monadjem, A., Cohen, L., MacEwan, K., Avenant, N., Balona, J., Jacobs, D. & Richards, L, Sethusa, T.	Piraccini, R.				
Cistugo seabrae	44788	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	CISTUGIDAE	Cistugo	Angolan Hairy Bat	Thomas, 1912	2017	LC		False	False	True		380050		0			Monadjem, A., Jacobs, D. & Griffin, M.	Piraccini, R.				
Cloeotis percivali	4983	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Cloeotis	Percival's Trident Bat	Thomas, 1901	2017	LC		False	False	True		2403684	1000	0			Monadjem, A., Fahr, J., Taylor, P.J., Hutson, A.M., Mickleburgh, S., Bergmans, W. & Aulagnier, S.	Piraccini, R.				
Coelops frithii	5074	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Coelops	Tail-less Leaf-nosed Bat	Blyth, 1848	2008	LC		False	False	True	>2,000	>20,000	1370	100			Bates, P., Bumrungsri, S., Francis, C., Csorba, G. & Molur, S.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Coelops robinsoni	5076	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Coelops	Malayan Tailless Leaf-nosed Bat	Bonhote, 1908	2008	VU	A4c	False	False	True							Heaney, L.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Coelops robinsoni ssp. hirsutus	5075	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Coelops	Philippine Tailless Leaf-nosed Bat	(Miller, 1911)	2008	DD		False	False	True							Ong, P., Rosell-Ambal, G. & Tabaranza, B. & Heaney, L.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Stuart, S.N. (Global Mammal Assessment Team)				
